t (s),FA (mol/s/mol site),FB (mol/s/mol site),FC (mol/s/mol site),FP (mol/s/mol site),XA,θA,θB,θC,θP,θV
0.0001059560179277616,99998.6362035457,199997.28009523582,0.007688144942344867,0.0,1.3637964543095071e-5,0.33305150747521856,0.6665257536365057,0.00042273868603480544,0.0,2.022410144084455e-10
0.00012458833642950082,99998.63495573257,199997.27899163682,0.009080171153439145,0.0,1.3650442674262298e-5,0.33300097525251104,0.6665004875251777,0.0004985370200779409,0.0,2.0223336070004927e-10
0.00014649713983072864,99998.63386623007,199997.27844849825,0.010716037136228075,0.0,1.3661337699422127e-5,0.33294159135373935,0.6664707955757906,0.0005876128682449477,0.0,2.022251133909636e-10
0.00017225859653987856,99998.63345301662,199997.27954429557,0.012638260342794154,0.0,1.3665469833779031e-5,0.3328718123445437,0.6664359060711035,0.0006922813821366633,0.0,2.022160863236755e-10
0.00020255019392306664,99998.6323997042,199997.27969611177,0.01489669709252891,0.0,1.3676002958012967e-5,0.3327898283806647,0.6663949140890615,0.0008152573280689442,0.0,2.0220483881033813e-10
0.00023816855519761583,99998.63115021444,199997.27985021903,0.01754978071878098,0.0,1.3688497855629533e-5,0.3326935182623942,0.6663467590298793,0.0009597225055349732,0.0,2.0219151147197328e-10
0.0002800503894183631,99998.62966806616,199997.28000210063,0.02066595748693437,0.0,1.3703319338420616e-5,0.33258039730859307,0.6662901985530078,0.0011294039362233334,0.0,2.0217590362275883e-10
0.0003292971255097152,99998.62791098522,199997.28014732822,0.024325347861788017,0.0,1.3720890147811415e-5,0.3324475570508599,0.6662237784242634,0.0013286643227191654,0.0,2.0215762267308812e-10
0.0003872038781812557,99998.6258309884,199997.28028364538,0.028621662317500126,0.0,1.3741690116086946e-5,0.3322915956874054,0.666145797742756,0.0015626063677024202,0.0,2.0213622247376717e-10
0.00045529350748669476,99998.62337544437,199997.28041529146,0.03366440248440487,0.0,1.376624555640693e-5,0.3321085381788851,0.6660542689887852,0.001837192630218676,0.0,2.0211107223597202e-10
0.0005353566677410725,99998.6204899909,199997.28056135384,0.03958137864352929,0.0,1.3795100091001933e-5,0.33189374486047013,0.6659468723298394,0.002159382607608767,0.0,2.0208164612164903e-10
0.0006294988990221888,99998.61712482348,199997.2807712099,0.04652157305107528,0.0,1.3828751765365688e-5,0.3316418074999311,0.6658209036495725,0.0025372886484493727,0.0,2.0204704923032502e-10
0.0007401959996915645,99998.61324693606,199997.28115224605,0.05465837432624357,0.0,1.3867530639505299e-5,0.33134643188575247,0.6656732158417441,0.002980352070497199,0.0,2.0200628452968217e-10
0.0008703591361485165,99998.60865345097,199997.2815000832,0.06419319328020681,0.0,1.3913465490428267e-5,0.3310003065659739,0.6655001531822923,0.003499540049774963,0.0,2.0195886065929591e-10
