t (s),FA (mol/s/mol site),FB (mol/s/mol site),FC (mol/s/mol site),FP (mol/s/mol site),XA,θA,θB,θC,θP,θV
1.0000000000000001e-7,0.2778669572008597,0.5557329117947376,6.3172487414703816e-15,0.0,0.9999972213304279,0.009999692986286592,0.019999386096058558,1.2242722697517e-10,0.0,0.9700009207952277
1.1758495540521568e-7,0.2793875008204114,0.5587738161607193,1.0250011990651283e-14,0.0,0.9999972061249919,0.011758182021150834,0.02351636424260214,1.990391482350822e-10,0.0,0.9647254535372078
1.382622173764656e-7,0.28119674134219297,0.5623920796100913,1.6722688037798478e-14,0.0,0.9999971880325866,0.013825900478235715,0.0276518012815707,3.2359230738330685e-10,0.0,0.9585222979166013
1.6257556664437941e-7,0.2833537778259343,0.5667058931545753,2.7381422284657692e-14,0.0,0.9999971664622217,0.016257226169719214,0.032514452867330144,5.260865420020156e-10,0.0,0.9512283204368641
1.9116440753857023e-7,0.28593140130878647,0.5718608301140278,4.492884228949898e-14,0.0,0.999997140685987,0.0191160991992508,0.038232199255964994,8.55294385701765e-10,0.0,0.9426517006894898
2.2478058335487253e-7,0.2890182233125018,0.5780341028748126,7.73272272385947e-14,0.0,0.9999971098177669,0.02247770347382687,0.044955408340777075,1.3905079929390674e-9,0.0,0.9325668867948881
2.6430814869741053e-7,0.29273335999891015,0.5854639294347209,1.4749964687439966e-13,0.0,0.9999970726664,0.026430443892010262,0.05286089004782521,2.260637059858652e-9,0.0,0.9207086637995275
3.107866187782013e-7,0.2972492616140337,0.5944951895454957,2.445241356249642e-13,0.0,0.999997027507384,0.031078271232149693,0.062156546143416126,3.675260477901129e-9,0.0,0.9067651789491737
3.654383070957256e-7,0.3027650192253211,0.6055260413977263,3.8839842879405643e-13,0.0,0.9999969723498078,0.03654341583444351,0.07308683764870842,5.975099285739483e-9,0.0,0.8903697405417488
4.297004704320841e-7,0.30953819311832387,0.6190715745862363,6.145659975696404e-13,0.0,0.9999969046180688,0.04296960197350162,0.08593921366690659,9.71408257081365e-9,0.0,0.8710911746455092
5.05263106533568e-7,0.31790479713819064,0.6358037763896076,9.850038015380692e-13,0.0,0.9999968209520286,0.0505258274311026,0.10105167066219754,1.5792763532593927e-8,0.0,0.8484224861139363
5.941133984965034e-7,0.3283069643352734,0.6566068597341159,1.606845409648978e-12,0.0,0.9999967169303566,0.05941080762986803,0.11882164094401039,2.5675221362810533e-8,0.0,0.8217675257509002
6.985879746785247e-7,0.34133152358292235,0.6826544117898219,2.6634925663333774e-12,0.0,0.9999965866847641,0.06985820114487144,0.13971644404287714,4.1741690648476425e-8,0.0,0.7904253130705609
8.214343584919427e-7,0.35776418171427915,0.7155177517278326,4.466360308898733e-12,0.0,0.9999964223581829,0.08214275392433405,0.16428557572513383,6.786185054010054e-8,0.0,0.7535716024886816
9.658832241158701e-7,0.3797161141736496,0.7594189765310014,8.240132967240093e-12,0.0,0.9999962028388583,0.0965875224963722,0.19317515533860258,1.1032684215677802e-7,0.0,0.7102372118381832
1.1357333583431054e-6,0.4103454422299245,0.8206739489163531,1.4716971410693075e-11,0.0,0.9999958965455776,0.11357236933094064,0.22714491805167464,1.7936455096278138e-7,0.0,0.6592825332528338
1.3354515629298988e-6,0.45278922390068954,0.9055564076329327,2.5676691515122217e-11,0.0,0.999995472107761,0.13354394964310778,0.26708819092327124,2.916029039915991e-7,0.0,0.5993675678307169
1.5702901247293773e-6,0.5120827851317747,1.024136398988173,4.536151199926522e-11,0.0,0.9999948791721487,0.1570274514168073,0.3140553769555793,4.7407474722648996e-7,0.0,0.5289166975528662
1.8464249428955437e-6,0.6064940678733715,1.2129476098497098,8.938958174936013e-11,0.0,0.9999939350593213,0.18464038664440613,0.36928154408585157,7.707287138590393e-7,0.0,0.4460772985410284
2.1711179456945044e-6,0.8038527555060552,1.607641249279696,2.0187799700055336e-10,0.0,0.9999919614724448,0.21710878502786699,0.43421882317844396,1.2530144439797277e-6,0.0,0.34867113877924505
2.552908068239517e-6,1.1458461490708072,2.291586905759699,4.2689502626216994e-10,0.0,0.9999885415385092,0.2552863140236168,0.5105746653167869,2.037089573726946e-6,0.0,0.23413698357002263
3.0018358135755894e-6,3.135905045604194,6.271465360003684,1.9977883571441835e-9,0.0,0.999968640949544,0.3001750267821153,0.6003533658566279,3.3117917744868307e-6,0.0,0.09946829556948233
3.52970730273065e-6,17727.216449096275,35452.30093328176,1.610962191212624e-5,0.0,0.8227278355090373,0.3333289824090893,0.6666656621983977,5.3358989460491e-6,0.0,1.9493566957662375e-8
4.150404757850476e-6,55610.56125572549,111214.43448409518,6.561855047176257e-5,0.0,0.4438943874427451,0.3333248117582065,0.6666673191306514,7.869007552659789e-6,0.0,1.0358948493610664e-10
4.880251583654431e-6,78513.60740370439,157017.77241986545,0.00012212577468211476,0.0,0.21486392596295617,0.3333199001695482,0.6666692522184061,1.0847492626272096e-5,0.0,1.1941945583209131e-10
5.738441648302394e-6,90845.67678253356,181680.42821678097,0.00018741763387097345,0.0,0.09154323217466453,0.33331412499521124,0.66667152525466,1.4349646804418741e-5,0.0,1.0332439826556952e-10
6.747544053110695e-6,96644.51934576289,193277.41616878659,0.00026350276098638717,0.0,0.03355480654237117,0.33330733439779103,0.6666741979847925,1.8467520272826775e-5,0.0,9.71435910059298e-11
7.934096665797492e-6,98968.66314633454,197925.42454026427,0.0003526096672704737,0.0,0.010313368536654655,0.33329934987288395,0.6666773406961213,2.330933612571915e-5,0.0,9.486899212781123e-11
9.329304026284684e-6,99743.9154474852,199475.83624926835,0.0004572268394267261,0.0,0.0025608455251481532,0.33328996154553164,0.6666810360313579,2.9002328979908905e-5,0.0,9.413063788854406e-11
1.0969857978923835e-5,99951.6158393642,199891.21245982865,0.0005801788216041456,0.0,0.0004838416063580875,0.3332789226626969,0.6666853811626706,3.569608069851584e-5,0.0,9.393398878827439e-11
1.2898902612533087e-5,99994.85249593657,199977.6810512964,0.0007247270150080342,0.0,5.1475040634269e-5,0.3332659431196755,0.6666904903465797,4.356643985320841e-5,0.0,9.389161259050873e-11
1.5167168884709225e-5,100001.71082968614,199991.39745642277,0.0008946781127595078,0.0,-1.7108296861412242e-5,0.3332506818521763,0.6666964979274541,5.2820126486543515e-5,0.0,9.388302139282274e-11
1.7834308769319092e-5,100002.60444157467,199993.18523407623,0.0010944974082873946,0.0,-2.604441574668992e-5,0.3332327378963281,0.6667035618686127,6.370014117949437e-5,0.0,9.387969983104712e-11
2.097046401323233e-5,100002.60379559295,199993.1847197895,0.0013294311759084227,0.0,-2.6037955929425483e-5,0.3332116398846368,0.6667118679037058,7.649211778130749e-5,0.0,9.387608989859866e-11
2.4658110758226026e-5,100002.65341054223,199993.2848579896,0.0016056453494463728,0.0,-2.65341054223045e-5,0.33318683370597146,0.6667216344172854,9.15317828703147e-5,0.0,9.387284139849694e-11
