t (s),FA (mol/s),FB (mol/s),FC (mol/s),FP (mol/s),XA,θA,θB,θC,θP,θV
0.00023816855519761583,999999.3375483359,1.999998683580238e6,0.008483566578134776,0.0,6.62451664079633e-7,0.3333026702534751,0.6666513350431059,4.599453615887233e-5,0.0,1.6726005553046848e-10
0.0002800503894183631,999999.3355507818,1.999998681108662e6,0.010007096885377948,0.0,6.644492182017459e-7,0.3332972416269096,0.6666486207298229,5.413747600775822e-5,0.0,1.6725980176617375e-10
0.0003292971255097152,999999.3332001618,1.9999986782031783e6,0.011802854059160326,0.0,6.667998382337004e-7,0.3332908638597122,0.6666454318462242,6.370412680356714e-5,0.0,1.6726009292866717e-10
0.0003872038781812557,999999.3304302845,1.9999986747809204e6,0.013920350264305853,0.0,6.695697154501801e-7,0.33328337213595477,0.6666416859843459,7.494171243945862e-5,0.0,1.6725990532103375e-10
0.00045529350748669476,999999.3271692904,1.9999986707570124e6,0.016418430637374238,0.0,6.728307095915653e-7,0.3332745734521625,0.6666372866424508,8.813973812728183e-5,0.0,1.6725941530230937e-10
0.0005353566677410725,999999.3233272751,1.999998666021692e6,0.019367142339328056,0.0,6.766727248530557e-7,0.33326424196207177,0.6666321208974061,0.00010363697326273983,0.0,1.6725945491634624e-10
0.0006294988990221888,999999.3188005767,1.9999986604511966e6,0.022850042769578704,0.0,6.811994233135721e-7,0.3332521136164169,0.6666260567245768,0.00012182949174662414,0.0,1.672597985948824e-10
0.0007401959996915645,999999.3134632917,1.9999986538935425e6,0.026966959418897242,0.0,6.865367082609097e-7,0.3332378800161902,0.6666189399244637,0.00014317989208618916,0.0,1.6725991495688056e-10
0.0008703591361485165,999999.3071667191,1.9999986461709582e6,0.0318375211119092,0.0,6.928332808575632e-7,0.33322118139907864,0.6666105906159099,0.00016822781775211717,0.0,1.6725936488690835e-10
0.0010234114021054528,999999.2997361623,1.999998637077809e6,0.03760547941866761,0.0,7.002638376940595e-7,0.3332015986857394,0.6666007992592345,0.00019760188776718447,0.0,1.672588737433242e-10
0.001203377840777589,999999.2909666605,1.9999986263772463e6,0.044443925448710064,0.0,7.090333394854653e-7,0.3331786445282389,0.6665893221804815,0.00023203312402046383,0.0,1.6725905705480652e-10
0.0014149912974345759,999999.2806065847,1.9999986137753841e6,0.052562216572737484,0.0,7.193934152827097e-7,0.3331517533313807,0.6665758765820471,0.00027236991931288483,0.0,1.6725933078875002e-10
0.0016638168860761292,999999.2683479637,1.9999985989100174e6,0.062214095598378184,0.0,7.316520362898871e-7,0.33312027026370217,0.6665601350482205,0.0003195945208185294,0.0,1.6725876656993946e-10
0.001956398343517065,999999.2538416428,1.9999985813919432e6,0.07370866352467298,0.0,7.461583572121455e-7,0.33308343934674806,0.6665417195897558,0.000374840896238372,0.0,1.67257684373541e-10
0.002300430119772917,999999.2366638127,1.9999985607511364e6,0.08742351428630449,0.0,7.633361873704558e-7,0.3330403908165838,0.6665201953246818,0.0004394136914760127,0.0,1.6725845930704378e-10
0.0027049597304631343,999999.2162857715,1.9999985363936878e6,0.10382214128343083,0.0,7.837142285138654e-7,0.33299012810447465,0.666495063968625,0.0005148077596427061,0.0,1.6725757866382918e-10
0.003180625692794119,999999.1920828277,1.9999985076409006e6,0.12347524696543367,0.0,8.079171722741307e-7,0.33293151499660334,0.6664657574146358,0.0006027274215034264,0.0,1.6725747208675562e-10
