t (s),FA (mol/s/mol site),FB (mol/s/mol site),FC (mol/s/mol site),FP (mol/s/mol site),XA,θA,θB,θC,θP,θV
0.0003292971255097152,99998.62575842743,199997.28554690353,0.024315642246239076,0.0,1.3742415725798152e-5,0.33218234430720706,0.6662234227690669,0.0013281325372057513,0.0002661001844360068,2.0208431071111824e-10
0.0003872038781812557,99998.62330022249,199997.28663563062,0.028608223172252003,0.0,1.3766997775110923e-5,0.3319797904197213,0.6661453054330396,0.0015618706951421913,0.00031303325004692083,2.0205000818068405e-10
0.00045529350748669476,99998.62040127584,199997.28788530728,0.03364580355054556,0.0,1.3795987241632668e-5,0.33174205501969684,0.6660535877194498,0.0018361753026086996,0.0003681817562351277,2.0200961275930115e-10
0.0005353566677410725,99998.61699626387,199997.28934345412,0.03955565197882406,0.0,1.3830037361439729e-5,0.33146311756939006,0.6659459298312888,0.0021579763420147766,0.0004329760553442263,2.019621806489784e-10
0.0006294988990221888,99998.61302268573,199997.2910926306,0.04648600475431783,0.0,1.3869773142771713e-5,0.33113596158008923,0.665819600089793,0.0025353455201732648,0.0005090926080377832,2.0190664569950945e-10
0.0007401959996915645,99998.6084328734,199997.2932789003,0.05460922404952373,0.0,1.391567126599047e-5,0.330752422985554,0.6656714133487224,0.0029776682356255106,0.0005984952282564912,2.0184155117685537e-10
0.0008703591361485165,99998.60300686095,199997.29574241862,0.06412530899226472,0.0,1.3969931390578338e-5,0.3303030208338428,0.6654976613882261,0.003495834764602393,0.000703482811563738,2.0176501322553136e-10
0.0010234114021054528,99998.59665264239,199997.29862354675,0.07526579101087846,0.0,1.4033473576119393e-5,0.3297767686980671,0.6652940342470512,0.004102452355806399,0.0008267444973997874,2.016755205761292e-10
0.001203377840777589,99998.58921825443,199997.3019928492,0.08829788978671363,0.0,1.4107817455644156e-5,0.329160971562301,0.6650555336909495,0.004812071541288573,0.0009714230038902829,2.0157069513960374e-10
0.0014149912974345759,99998.58052789238,199997.3059296173,0.10352896352585203,0.0,1.4194721076193906e-5,0.3284410066089595,0.6647763774162065,0.005641428454071885,0.0011411873193138908,2.0144820772442784e-10
0.0016638168860761292,99998.57038018656,199997.31052489896,0.12131107079168288,0.0,1.4296198134478022e-5,0.3276000952738667,0.664449895703954,0.006609693224896529,0.001340315595977522,2.0130529838555122e-10
0.001956398343517065,99998.55854571566,199997.31588293097,0.14204545743722052,0.0,1.4414542843510514e-5,0.3266190742823009,0.6640684220124008,0.0077387143000155765,0.0015737892041445627,2.011380970633192e-10
0.002300430119772917,99998.54476482769,199997.32212270467,0.16618666897306633,0.0,1.4552351723096102e-5,0.32547617827977665,0.6636231803822502,0.009053242362880765,0.0018473987741490325,2.0094339625402469e-10
0.0027049597304631343,99998.52874567178,199997.329378656,0.1942457923836572,0.0,1.4712543282280333e-5,0.32414685521614084,0.6631041750644899,0.010581106856508652,0.0021678626621440453,2.0071653237044296e-10
0.003180625692794119,99998.51015943704,199997.3377941521,0.22679230867137323,0.0,1.4898405629737432e-5,0.3226036374651887,0.6625000873502421,0.012353316800722996,0.0025429581833931107,2.0045304522167684e-10
0.0037399373024787977,99998.48864537846,199997.3475314483,0.2644535157681421,0.0,1.511354621550054e-5,0.32081611176362523,0.6617981929390204,0.014404029388866651,0.002981665708340714,2.0014697711678853e-10
0.004397603609302721,99998.46381257116,199997.3587690455,0.3079103628836056,0.0,1.536187428846647e-5,0.3187510400243878,0.6609843126047498,0.016770323190248026,0.0034943239808218713,1.997925236710274e-10
0.005170920242896761,99998.43524477724,199997.37170028914,0.35788896244618573,0.0,1.5647552227687767e-5,0.3163726636688628,0.6600428026215343,0.0194917359330144,0.004092797577204898,1.993835955713119e-10
0.006080224261649421,99998.4025098227,199997.38653115786,0.41514495089063125,0.0,1.5974901773074812e-5,0.31364331511169136,0.6589566210474515,0.022609412923452376,0.004790650718490779,1.989140926625388e-10
0.007149428986597577,99998.36516367094,199997.4034545526,0.48043832974300693,0.0,1.6348363290619172e-5,0.3105244444259404,0.6577074964884484,0.02616473679751614,0.005603322089719961,1.983750984660415e-10
0.008406652885618326,99998.3227869392,199997.42267093586,0.5544961734557826,0.0,1.6772130608105895e-5,0.306978157818752,0.6562762399972342,0.030197297256081657,0.006548304730172061,1.9776007394167738e-10
